Last Night,Morgan Wallen,2023,1,0
Flowers,Miley Cyrus,2023,2,0
Kill Bill,SZA,2023,3,0
Anti-Hero,Taylor Swift,2023,4,0
Creepin',Metro Boomin\, the Weeknd & 21 Savage,2023,5,0
Calm Down,Rema & Selena Gomez,2023,6,0
Die for You,The Weeknd & Ariana Grande,2023,7,0
Fast Car,Luke Combs,2023,8,0
Snooze,SZA,2023,9,0
I'm Good (Blue),David Guetta & Bebe Rexha,2023,10,0
Unholy,Sam Smith & Kim Petras,2023,11,0
You Proof,Morgan Wallen,2023,12,0
Something in the Orange,Zach Bryan,2023,13,0
Rich Flex,Drake & 21 Savage,2023,14,0
As It Was,Harry Styles,2023,15,0
Rock and a Hard Place,Bailey Zimmerman,2023,16,0
Under the Influence,Chris Brown,2023,17,0
Cruel Summer,Taylor Swift,2023,18,0
Thinkin' Bout Me,Morgan Wallen,2023,19,0
Boy's a Liar Pt. 2,PinkPantheress & Ice Spice,2023,20,0
Favorite Song,Toosii,2023,21,0
Thought You Should Know,Morgan Wallen,2023,22,0
Thank God,Kane Brown & Katelyn Brown,2023,23,0
Sure Thing,Miguel,2023,24,0
All My Life,Lil Durk (feat. J. Cole),2023,25,0
Ella Baila Sola,Eslabon Armado & Peso Pluma,2023,26,0
Karma,Taylor Swift (feat. Ice Spice),2023,27,0
Just Wanna Rock,Lil Uzi Vert,2023,28,0
Cuff It,Beyoncé,2023,29,0
Vampire,Olivia Rodrigo,2023,30,0
FukUMean,Gunna,2023,31,0
Lavender Haze,Taylor Swift,2023,32,0
Players,Coi Leray,2023,33,0
Need a Favor,Jelly Roll,2023,34,0
Dance the Night,Dua Lipa,2023,35,0
Love You Anyway,Luke Combs,2023,36,0
One Thing at a Time,Morgan Wallen,2023,37,0
Superhero (Heroes & Villains),Metro Boomin\, Future & Chris Brown,2023,38,0
Bad Habit,Steve Lacy,2023,39,0
La Bebé,Yng Lvcas & Peso Pluma,2023,40,0
Golden Hour,Jvke,2023,41,0
Religiously,Bailey Zimmerman,2023,42,0
Spin Bout U,Drake & 21 Savage,2023,43,0
Cupid,Fifty Fifty,2023,44,0
Search & Rescue,Drake,2023,45,0
Barbie World,Nicki Minaj & Ice Spice with Aqua,2023,46,0
Next Thing You Know,Jordan Davis,2023,47,0
Escapism,Raye (feat. 070 Shake),2023,48,0
Un x100to,Grupo Frontera & Bad Bunny,2023,49,0
Until I Found You,Stephen Sanchez,2023,50,0
Shirt,SZA,2023,51,0
Paint the Town Red,Doja Cat,2023,52,0
Made You Look,Meghan Trainor,2023,53,0
Wait in the Truck,Hardy (feat. Lainey Wilson),2023,54,0
All I Want for Christmas Is You,Mariah Carey,2023,55,0
Everything I Love,Morgan Wallen,2023,56,0
Chemical,Post Malone,2023,57,0
Heart Like a Truck,Lainey Wilson,2023,58,0
Going\, Going\, Gone,Luke Combs,2023,59,0
Rockin' Around the Christmas Tree,Brenda Lee,2023,60,0
Dancin' in the Country,Tyler Hubbard,2023,61,0
Daylight,David Kushner,2023,62,0
Lift Me Up,Rihanna,2023,63,0
Eyes Closed,Ed Sheeran,2023,64,0
TQG,Karol G & Shakira,2023,65,0
Try That in a Small Town,Jason Aldean,2023,66,0
Tennessee Orange,Megan Moroney,2023,67,0
Jingle Bell Rock,Bobby Helms,2023,68,0
Princess Diana,Ice Spice & Nicki Minaj,2023,69,0
Tomorrow 2,GloRilla & Cardi B,2023,70,0
A Holly Jolly Christmas,Burl Ives,2023,71,0
Where She Goes,Bad Bunny,2023,72,0
Bebe Dame,Fuerza Regida & Grupo Frontera,2023,73,0
I Remember Everything,Zach Bryan (feat. Kacey Musgraves),2023,74,0
I Like You (A Happier Song),Post Malone (feat. Doja Cat),2023,75,0
What It Is (Block Boy),Doechii (feat. Kodak Black),2023,76,0
Nobody Gets Me,SZA,2023,77,0
Rich Men North of Richmond,Oliver Anthony Music,2023,78,0
Super Freaky Girl,Nicki Minaj,2023,79,0
Dial Drunk,Noah Kahan & Post Malone,2023,80,0
What Was I Made For?,Billie Eilish,2023,81,0
Seven,Jungkook (feat. Latto),2023,82,0
Wait for U,Future (feat. Drake & Tems),2023,83,0
Last Christmas,Wham!,2023,84,0
Handle on You,Parker McCollum,2023,85,0
Por Las Noches,Peso Pluma,2023,86,0
Memory Lane,Old Dominion,2023,87,0
Area Codes,Kaliii,2023,88,0
Bury Me in Georgia,Kane Brown,2023,89,0
PRC,Peso Pluma & Natanael Cano,2023,90,0
What My World Spins Around,Jordan Davis,2023,91,0
Ain't That Some,Morgan Wallen,2023,92,0
Wild as Her,Corey Kent,2023,93,0
Peaches & Eggplants,Young Nudy (feat. 21 Savage),2023,94,0
I Wrote the Book,Morgan Wallen,2023,95,0
Bzrp Music Sessions\, Vol. 53,Bizarrap & Shakira,2023,96,0
Meltdown,Travis Scott (feat. Drake),2023,97,0
Put It on da Floor Again,Latto (feat. Cardi B),2023,98,0
Bloody Mary,Lady Gaga,2023,99,0
Watermelon Moonshine,Lainey Wilson,2023,100,0
